external_gene_name	reactome
trim9	R-DRE-983169
trim9	R-DRE-983168
trim9	R-DRE-1280218
trim9	R-DRE-168256
hmgn7	R-DRE-73894
hmgn7	R-DRE-6782210
hmgn7	R-DRE-6782135
hmgn7	R-DRE-6781827
hmgn7	R-DRE-6781823
hmgn7	R-DRE-5696398
SLC24A1	R-DRE-425561
SLC24A1	R-DRE-425407
SLC24A1	R-DRE-425393
SLC24A1	R-DRE-382551
capn9	R-DRE-1474228
capn9	R-DRE-1474244
cbx5	R-DRE-983231
cbx5	R-DRE-109582
ormdl2	R-DRE-556833
ormdl2	R-DRE-428157
ormdl2	R-DRE-1660661
ormdl2	R-DRE-1430728
snx3	R-DRE-3238698
snx3	R-DRE-5689880
snx3	R-DRE-195721
snx3	R-DRE-5688426
snx3	R-DRE-597592
snx3	R-DRE-392499
snx3	R-DRE-162582
PIK3CA	R-DRE-8851907
PIK3CA	R-DRE-389357
PIK3CA	R-DRE-210993
PIK3CA	R-DRE-186763
PIK3CA	R-DRE-201556
PIK3CA	R-DRE-186797
PIK3CA	R-DRE-9027276
PIK3CA	R-DRE-9006335
PIK3CA	R-DRE-198203
PIK3CA	R-DRE-5654720
PIK3CA	R-DRE-5654716
PIK3CA	R-DRE-5654708
PIK3CA	R-DRE-5654710
PIK3CA	R-DRE-5654696
PIK3CA	R-DRE-5654695
PIK3CA	R-DRE-5654689
PIK3CA	R-DRE-5654687
PIK3CA	R-DRE-180292
PIK3CA	R-DRE-166520
PIK3CA	R-DRE-187037
PIK3CA	R-DRE-389356
PIK3CA	R-DRE-9607240
PIK3CA	R-DRE-8853659
PIK3CA	R-DRE-2428928
PIK3CA	R-DRE-74751
PIK3CA	R-DRE-2428924
PIK3CA	R-DRE-2404192
PIK3CA	R-DRE-109704
PIK3CA	R-DRE-112399
PIK3CA	R-DRE-912631
PIK3CA	R-DRE-6806834
PIK3CA	R-DRE-5654741
PIK3CA	R-DRE-5654743
PIK3CA	R-DRE-5654738
PIK3CA	R-DRE-5654736
PIK3CA	R-DRE-190236
PIK3CA	R-DRE-177929
PIK3CA	R-DRE-912526
PIK3CA	R-DRE-451927
PIK3CA	R-DRE-512988
PIK3CA	R-DRE-1433557
PIK3CA	R-DRE-74752
PIK3CA	R-DRE-1660499
PIK3CA	R-DRE-1483255
PIK3CA	R-DRE-1483257
PIK3CA	R-DRE-114604
PIK3CA	R-DRE-76002
PIK3CA	R-DRE-9675108
PIK3CA	R-DRE-422475
PIK3CA	R-DRE-2172127
PIK3CA	R-DRE-2424491
PIK3CA	R-DRE-1266738
PIK3CA	R-DRE-9009391
PIK3CA	R-DRE-556833
PIK3CA	R-DRE-4420097
PIK3CA	R-DRE-194138
PIK3CA	R-DRE-388841
PIK3CA	R-DRE-9013404
PIK3CA	R-DRE-109582
PIK3CA	R-DRE-202733
PIK3CA	R-DRE-416476
PIK3CA	R-DRE-388396
PIK3CA	R-DRE-1280218
PIK3CA	R-DRE-9716542
PIK3CA	R-DRE-9013149
PIK3CA	R-DRE-9012999
PIK3CA	R-DRE-194315
PIK3CA	R-DRE-449147
PIK3CA	R-DRE-168249
PIK3CA	R-DRE-168256
PIK3CA	R-DRE-1280215
PIK3CA	R-DRE-9006934
PIK3CA	R-DRE-9006931
PIK3CA	R-DRE-9006925
PIK3CA	R-DRE-8939211
PIK3CA	R-DRE-6811558
PIK3CA	R-DRE-5684996
PIK3CA	R-DRE-5683057
PIK3CA	R-DRE-5673001
PIK3CA	R-DRE-1963642
PIK3CA	R-DRE-199418
PIK3CA	R-DRE-1257604
PIK3CA	R-DRE-1250342
PIK3CA	R-DRE-1236394
PIK3CA	R-DRE-1227986
PIK3CA	R-DRE-1430728
PIK3CA	R-DRE-372790
PIK3CA	R-DRE-162582
med13a	R-DRE-74160
med13a	R-DRE-73857
med13a	R-DRE-212436
thrb	R-DRE-383280
thrb	R-DRE-4090294
thrb	R-DRE-3108232
thrb	R-DRE-2990846
thrb	R-DRE-74160
thrb	R-DRE-73857
thrb	R-DRE-212436
thrb	R-DRE-597592
thrb	R-DRE-392499
phax	R-DRE-6807505
phax	R-DRE-74160
phax	R-DRE-73857
zfhx3b	R-DRE-8941855
zfhx3b	R-DRE-8878159
zfhx3b	R-DRE-74160
zfhx3b	R-DRE-73857
zfhx3b	R-DRE-212436
ssna1	R-DRE-69275
ssna1	R-DRE-8854518
ssna1	R-DRE-5620912
ssna1	R-DRE-453274
ssna1	R-DRE-380320
ssna1	R-DRE-380287
ssna1	R-DRE-380284
ssna1	R-DRE-380270
ssna1	R-DRE-380259
ssna1	R-DRE-2565942
ssna1	R-DRE-5617833
ssna1	R-DRE-1852241
ssna1	R-DRE-68886
ssna1	R-DRE-69278
ssna1	R-DRE-68877
ssna1	R-DRE-1640170
	R-DRE-380108
	R-DRE-6798695
	R-DRE-418594
	R-DRE-388396
	R-DRE-168249
	R-DRE-168256
	R-DRE-500792
	R-DRE-373076
	R-DRE-375276
	R-DRE-372790
	R-DRE-162582
kyat1	R-DRE-8964208
kyat1	R-DRE-8963691
kyat1	R-DRE-8964539
kyat1	R-DRE-71240
kyat1	R-DRE-71291
kyat1	R-DRE-1430728
CXCR1	R-DRE-380108
CXCR1	R-DRE-6798695
CXCR1	R-DRE-418594
CXCR1	R-DRE-388396
CXCR1	R-DRE-168249
CXCR1	R-DRE-168256
CXCR1	R-DRE-500792
CXCR1	R-DRE-373076
CXCR1	R-DRE-375276
CXCR1	R-DRE-372790
CXCR1	R-DRE-162582
PTGER3	R-DRE-391908
PTGER3	R-DRE-391903
PTGER3	R-DRE-418594
PTGER3	R-DRE-388396
PTGER3	R-DRE-500792
PTGER3	R-DRE-373076
PTGER3	R-DRE-372790
PTGER3	R-DRE-162582
UTP14C	R-DRE-72312
UTP14C	R-DRE-8868773
UTP14C	R-DRE-6791226
UTP14C	R-DRE-8953854
kif4	R-DRE-983189
kif4	R-DRE-8856688
kif4	R-DRE-6811442
kif4	R-DRE-6811434
kif4	R-DRE-2132295
kif4	R-DRE-983231
kif4	R-DRE-5653656
kif4	R-DRE-199991
kif4	R-DRE-109582
kif4	R-DRE-1280218
kif4	R-DRE-168256
arhgef1b	R-DRE-9013106
arhgef1b	R-DRE-9013026
arhgef1b	R-DRE-416482
arhgef1b	R-DRE-73887
arhgef1b	R-DRE-204998
arhgef1b	R-DRE-193704
arhgef1b	R-DRE-193648
arhgef1b	R-DRE-388396
arhgef1b	R-DRE-9716542
arhgef1b	R-DRE-9012999
arhgef1b	R-DRE-8980692
arhgef1b	R-DRE-194315
arhgef1b	R-DRE-372790
arhgef1b	R-DRE-162582
CLCN6	R-DRE-382551
CLCN6	R-DRE-983712
CLCN6	R-DRE-2672351
stam2	R-DRE-917729
stam2	R-DRE-8856828
stam2	R-DRE-8856825
stam2	R-DRE-6807004
stam2	R-DRE-6806834
stam2	R-DRE-182971
stam2	R-DRE-177929
stam2	R-DRE-5689880
stam2	R-DRE-5688426
stam2	R-DRE-9013420
stam2	R-DRE-5653656
stam2	R-DRE-199991
stam2	R-DRE-9716542
stam2	R-DRE-9012999
stam2	R-DRE-194315
stam2	R-DRE-9006934
stam2	R-DRE-597592
stam2	R-DRE-392499
stam2	R-DRE-162582
gpia	R-DRE-70171
gpia	R-DRE-70326
gpia	R-DRE-70263
gpia	R-DRE-71387
gpia	R-DRE-6798695
gpia	R-DRE-5628897
gpia	R-DRE-74160
gpia	R-DRE-73857
gpia	R-DRE-3700989
gpia	R-DRE-212436
gpia	R-DRE-168249
gpia	R-DRE-168256
gpia	R-DRE-1430728
leap2	R-DRE-6803157
leap2	R-DRE-168249
leap2	R-DRE-168256
lrp8	R-DRE-432142
lrp8	R-DRE-9758890
lrp8	R-DRE-9709957
lrp8	R-DRE-975634
lrp8	R-DRE-6806667
lrp8	R-DRE-2187338
lrp8	R-DRE-418346
lrp8	R-DRE-196741
lrp8	R-DRE-196854
lrp8	R-DRE-196849
lrp8	R-DRE-109582
lrp8	R-DRE-1430728
surf1	R-DRE-9707564
surf1	R-DRE-611105
surf1	R-DRE-163200
surf1	R-DRE-1428517
surf1	R-DRE-5628897
surf1	R-DRE-74160
surf1	R-DRE-73857
surf1	R-DRE-3700989
surf1	R-DRE-212436
surf1	R-DRE-1430728
surf1	R-DRE-9711123
surf1	R-DRE-2262752
surf1	R-DRE-8953897
rbks	R-DRE-71336
rbks	R-DRE-71387
rbks	R-DRE-1430728
ddx21	R-DRE-5250924
ddx21	R-DRE-5250913
ddx21	R-DRE-212165
ddx21	R-DRE-72312
ddx21	R-DRE-8868773
ddx21	R-DRE-6791226
ddx21	R-DRE-8953854
ddx21	R-DRE-74160
sin3b	R-DRE-400206
sin3b	R-DRE-8936459
sin3b	R-DRE-8878171
sin3b	R-DRE-9707564
sin3b	R-DRE-556833
sin3b	R-DRE-74160
sin3b	R-DRE-73857
sin3b	R-DRE-212436
sin3b	R-DRE-1430728
sin3b	R-DRE-9711123
sin3b	R-DRE-2262752
sin3b	R-DRE-8953897
	R-DRE-9609507
	R-DRE-9033241
dusp5	R-DRE-112409
dusp5	R-DRE-5675221
dusp5	R-DRE-5684996
dusp5	R-DRE-5683057
dusp5	R-DRE-5673001
dusp5	R-DRE-162582
CSPG4	R-DRE-2024101
CSPG4	R-DRE-2022923
CSPG4	R-DRE-2022870
CSPG4	R-DRE-1971475
CSPG4	R-DRE-1793185
CSPG4	R-DRE-1638091
CSPG4	R-DRE-1630316
CSPG4	R-DRE-71387
CSPG4	R-DRE-1430728
ccl19b	R-DRE-380108
ccl19b	R-DRE-418594
ccl19b	R-DRE-388396
ccl19b	R-DRE-500792
ccl19b	R-DRE-373076
ccl19b	R-DRE-375276
ccl19b	R-DRE-372790
ccl19b	R-DRE-162582
	R-DRE-376172
	R-DRE-373752
	R-DRE-168638
	R-DRE-9675108
	R-DRE-422475
	R-DRE-1266738
	R-DRE-168643
	R-DRE-4420097
	R-DRE-194138
	R-DRE-9006934
aqp9b	R-DRE-432030
aqp9b	R-DRE-445717
aqp9b	R-DRE-432047
aqp9b	R-DRE-382551
pja2	R-DRE-983169
pja2	R-DRE-983168
pja2	R-DRE-1280218
pja2	R-DRE-168256
pdxkb	R-DRE-964975
pdxkb	R-DRE-196854
pdxkb	R-DRE-196849
pdxkb	R-DRE-6798695
pdxkb	R-DRE-168249
pdxkb	R-DRE-168256
pdxkb	R-DRE-1430728
eif3ea	R-DRE-72695
eif3ea	R-DRE-72689
eif3ea	R-DRE-72737
eif3ea	R-DRE-72706
eif3ea	R-DRE-72702
eif3ea	R-DRE-72662
eif3ea	R-DRE-72649
eif3ea	R-DRE-72613
eif3ea	R-DRE-156827
eif3ea	R-DRE-72766
eif3ea	R-DRE-392499
GUCA1A	R-DRE-2514859
GUCA1A	R-DRE-2514856
GUCA1A	R-DRE-9709957
GUCA1A	R-DRE-2187338
tsn	R-DRE-426486
tsn	R-DRE-211000
tsn	R-DRE-74160
	R-DRE-8948751
	R-DRE-3232142
	R-DRE-6807070
	R-DRE-983169
	R-DRE-983168
	R-DRE-1280218
	R-DRE-9006925
	R-DRE-1257604
ankrd9	R-DRE-8951664
ankrd9	R-DRE-597592
ankrd9	R-DRE-392499
dyrk2	R-DRE-6804756
dyrk2	R-DRE-74160
dyrk2	R-DRE-73857
dyrk2	R-DRE-5633007
dyrk2	R-DRE-3700989
dyrk2	R-DRE-212436
AADAT	R-DRE-71064
AADAT	R-DRE-71240
AADAT	R-DRE-71291
AADAT	R-DRE-1430728
fblim1	R-DRE-446353
fblim1	R-DRE-446728
fblim1	R-DRE-1500931
	R-DRE-2029481
	R-DRE-1236978
	R-DRE-2029480
	R-DRE-2871837
	R-DRE-2871809
	R-DRE-2871796
	R-DRE-2454202
	R-DRE-1236975
c8g	R-DRE-166665
c8g	R-DRE-977606
c8g	R-DRE-166658
c8g	R-DRE-168249
c8g	R-DRE-168256
	R-DRE-1660499
	R-DRE-1483255
	R-DRE-1483257
	R-DRE-556833
	R-DRE-1430728
	R-DRE-2172127
	R-DRE-198933
fmnl3	R-DRE-5663220
fmnl3	R-DRE-195258
fmnl3	R-DRE-9013106
fmnl3	R-DRE-9716542
fmnl3	R-DRE-9012999
fmnl3	R-DRE-9013148
fmnl3	R-DRE-8980692
fmnl3	R-DRE-194315
fmnl3	R-DRE-162582
tmem86a	R-DRE-1483206
tmem86a	R-DRE-1482788
tmem86a	R-DRE-1483257
tmem86a	R-DRE-556833
tmem86a	R-DRE-1430728
oxct1b	R-DRE-77108
oxct1b	R-DRE-74182
oxct1b	R-DRE-556833
oxct1b	R-DRE-1430728
rdh14b	R-DRE-5365859
rdh14b	R-DRE-5362517
rdh14b	R-DRE-9006931
rdh14b	R-DRE-162582
	R-DRE-975163
	R-DRE-975144
	R-DRE-937072
	R-DRE-937039
	R-DRE-937042
	R-DRE-450321
	R-DRE-450302
	R-DRE-450294
	R-DRE-448424
	R-DRE-209560
	R-DRE-209543
	R-DRE-193639
	R-DRE-73887
	R-DRE-193704
	R-DRE-975871
	R-DRE-975155
	R-DRE-937061
	R-DRE-975138
	R-DRE-9020702
	R-DRE-449147
	R-DRE-446652
	R-DRE-181438
	R-DRE-445989
	R-DRE-168898
	R-DRE-168188
	R-DRE-168181
	R-DRE-168179
	R-DRE-168176
	R-DRE-168142
	R-DRE-168164
	R-DRE-168138
	R-DRE-166166
	R-DRE-166058
	R-DRE-166016
	R-DRE-1280215
	R-DRE-6811558
	R-DRE-199418
slc25a21	R-DRE-71064
slc25a21	R-DRE-71291
slc25a21	R-DRE-1430728
SLC24A2	R-DRE-425561
SLC24A2	R-DRE-425407
SLC24A2	R-DRE-425393
SLC24A2	R-DRE-382551
pm20d1.2	R-DRE-9673163
pm20d1.2	R-DRE-166187
pm20d1.2	R-DRE-163200
pm20d1.2	R-DRE-1428517
pm20d1.2	R-DRE-1430728
dap3	R-DRE-5419276
dap3	R-DRE-72766
dap3	R-DRE-5389840
dap3	R-DRE-5368287
dap3	R-DRE-392499
txlna	R-DRE-449836
txlna	R-DRE-449147
txlna	R-DRE-168256
txlna	R-DRE-1280215
bdnf	R-DRE-9032759
bdnf	R-DRE-9032500
bdnf	R-DRE-9028731
bdnf	R-DRE-9006115
bdnf	R-DRE-9026527
bdnf	R-DRE-166520
bdnf	R-DRE-9006934
bdnf	R-DRE-162582
mrpl43	R-DRE-5419276
mrpl43	R-DRE-72766
mrpl43	R-DRE-5389840
mrpl43	R-DRE-5368287
mrpl43	R-DRE-392499
prkcda	R-DRE-450520
prkcda	R-DRE-877300
prkcda	R-DRE-1489509
prkcda	R-DRE-111997
prkcda	R-DRE-111933
prkcda	R-DRE-114508
prkcda	R-DRE-111996
prkcda	R-DRE-2029485
prkcda	R-DRE-2029480
prkcda	R-DRE-5607764
prkcda	R-DRE-450531
prkcda	R-DRE-8953854
prkcda	R-DRE-5621481
prkcda	R-DRE-76002
prkcda	R-DRE-75153
prkcda	R-DRE-111465
prkcda	R-DRE-913531
prkcda	R-DRE-109581
prkcda	R-DRE-5668599
prkcda	R-DRE-112043
prkcda	R-DRE-112040
prkcda	R-DRE-111885
prkcda	R-DRE-5218921
prkcda	R-DRE-4420097
prkcda	R-DRE-194138
prkcda	R-DRE-6798695
prkcda	R-DRE-5357801
prkcda	R-DRE-109582
prkcda	R-DRE-195258
prkcda	R-DRE-418594
prkcda	R-DRE-416476
prkcda	R-DRE-388396
prkcda	R-DRE-9716542
prkcda	R-DRE-194315
prkcda	R-DRE-168249
prkcda	R-DRE-168256
prkcda	R-DRE-1280215
prkcda	R-DRE-9006934
prkcda	R-DRE-9006925
prkcda	R-DRE-1250196
prkcda	R-DRE-1227986
prkcda	R-DRE-372790
prkcda	R-DRE-162582
nt5e	R-DRE-73621
nt5e	R-DRE-8956319
nt5e	R-DRE-74259
nt5e	R-DRE-196807
nt5e	R-DRE-196854
nt5e	R-DRE-196849
nt5e	R-DRE-15869
nt5e	R-DRE-1430728
ube2g1a	R-DRE-8866652
ube2g1a	R-DRE-8852135
ube2g1a	R-DRE-983169
ube2g1a	R-DRE-983168
ube2g1a	R-DRE-1280218
ube2g1a	R-DRE-168256
ube2g1a	R-DRE-597592
ube2g1a	R-DRE-392499
myhz2	R-DRE-390522
myhz2	R-DRE-397014
atf7ip	R-DRE-4839726
atf7ip	R-DRE-3247509
atf7ip	R-DRE-3214841
gata6	R-DRE-5683826
gata6	R-DRE-983231
gata6	R-DRE-109582
gata6	R-DRE-392499
slc4a2b	R-DRE-425381
slc4a2b	R-DRE-425407
slc4a2b	R-DRE-425393
slc4a2b	R-DRE-382551
smarcd3b	R-DRE-400206
smarcd3b	R-DRE-8939243
smarcd3b	R-DRE-8878171
smarcd3b	R-DRE-3214858
smarcd3b	R-DRE-9707564
smarcd3b	R-DRE-556833
smarcd3b	R-DRE-74160
smarcd3b	R-DRE-73857
smarcd3b	R-DRE-4839726
smarcd3b	R-DRE-3247509
smarcd3b	R-DRE-212436
