ERR6501829	ERR6501833	ERR6501834	SRR10813970	SRR10813971	SRR10813972	SRR10813973	SRR10813976	SRR10813977	SRR12005388	SRR12005389	SRR12005390	SRR12005391	SRR12898817	SRR12898818	SRR12898819	SRR12898823	SRR12898824	SRR12898825	SRR12933780	SRR12933782	SRR12933784	SRR17085048	SRR17085049	SRR17085050	SRR17085051	SRR17085052	SRR17085053	SRR17085054	SRR17085055	SRR3290608	SRR3290609	SRR3290610	SRR3290611	SRR3290612	SRR3290613	SRR5984237	SRR5984238	SRR5984239	SRR9336401	SRR9336402	SRR9336403	SRR9336404
chga	2.35130774133378	4.28990928968267	2.87356133122725	0.799884813307259	0.595991590808622	0.72857924244587	0.324678066020312	0.754635536546514	0.0369244222823589	3.19277813042064	3.76616620704728	2.87744930501075	3.89277493081955	12.5208715642062	8.3267177830875	15.0998271550594	11.5735917679227	4.64407746503748	5.5857992220672	14.0001117796016	5.06498587094803	3.7357358180931	0.259365927760052	1.0141892750307	0.392961019262195	1.03267301628243	0.898254000180968	0.988685977785652	0.519998673193304	0.362121666904316	1.46851375539236	1.93328556199819	0.553902824017087	3.72276814120475	2.46233454435041	6.30216061597572	1.5694116014294	3.30344933456246	2.22523212192177	0.209072127634938	0.119178803816881	0.119918993951029	0.189292563970993
cmlc1	1396.62705521785	1512.30770371555	1610.29455843754	9338.06142316223	10077.5552523823	10077.5552523823	9338.06142316223	10077.5552523823	6823.69034148647	248.529951815578	264.352723983942	277.950213286356	151.179254913117	3.5759003839528	15.8433780941773	2.51812191867732	105.799594285403	30.5645026271284	13.0229409416441	51.6654620930965	77.6598213937218	19.6476920142607	8021.33259459756	6412.72941783597	8728.02659353654	6412.72941783597	8021.33259459756	8021.33259459756	8728.02659353654	8021.33259459756	2374.02789743396	8728.02659353654	8728.02659353654	1927.68809574419	2944.44395491598	2944.44395491598	3497.32479365316	3497.32479365316	3497.32479365316	9338.06142316223	7420.96089480944	8021.33259459756	8021.33259459756
crip1	428.979652922126	274.028865114968	264.352723983942	312.58378145806	338.072289909366	336.371158093393	271.846287870785	307.525912387771	405.428910176944	290.201136594343	341.803210415832	305.150780706991	279.767346710963	5.10116114113617	5.57353133404499	3.69878876763979	1207.77899908463	390.598661547988	256.499469385049	173.451220408	333.632447028109	609.73125618097	22.1055854298553	62.6814713081279	30.2425813788444	36.9113496889256	38.4028651575705	49.5260275816605	37.9573760325421	36.5954184084942	41.1009686135253	38.0653107966707	10.3614405623883	30.6381575990058	93.6763845144012	82.8652700582745	23.3862308730154	28.3245560433451	33.939747147147	347.315697314635	318.198332593464	239.457749553057	256.499469385049
crip2	208.412637910776	203.269882592155	214.73652254266	218.215626153859	197.220457849647	193.792481758616	235.346049845496	162.774484507184	185.727484232818	51.5587913520839	57.9257930224831	42.8572150673921	39.4449594105561	281.819005679781	361.442705312225	109.385289907011	333.632447028109	1268.9218674095	671.50154854632	624.799450886979	1035.78004120053	665.402588140502	599.865000826675	383.506685286884	696.537047700756	359.771870989336	506.683432561034	551.561112999187	641.040990462429	549.63347450983	110.971674119998	193.195605409505	342.392632857739	191.8968945181	118.432946765667	98.0624063173287	260.358641954575	219.301694947838	230.25865868817	305.150780706991	227.478892683898	241.450276015894	226.418168729821
cryaba	0.0729272605896423	0.00382118539301517	0.003286205625794	0.045223563969909	0.281355057869244	0.0520634010485493	0.0557005342619575	0.0611653378471889	0.0369244222823589	0.0420841194589962	0.0715731586135053	0.00518669513318399	0.035190957785107	0.0196313342182202	0.0148908366599029	0.189175541843552	0.00752675048201759	0.0430000212958849	0.0826647595985315	0.0314519302246725	0.070901062528123	0.134593343802254	0.0839015702151223	0.0729272605896423	0.786194408294404	0.0456480389802425	0.0175104257060818	0.188700896643218	0.278908110676646	0.0650441612748265	0.577815499293998	0.0153822634864581	0.0277236903654289	0.0200558092285537	0.0200558092285537	0.0196313342182202	0.0335994838448583	0.0384199893337878	0.035190957785107	0.209072127634938	0.119178803816881	0.119918993951029	0.189292563970993
cryabb	0.742270079776045	0.396560206993325	0.386423227166676	42.9140707674682	26.1623729025596	18.131879861398	28.078614707027	6.37778393530196	18.5322701959312	0.0814181556245223	0.340282988051954	0.870807455347485	0.317359762200869	0.0196313342182202	0.220669535232072	0.34707486239913	13.6328624367197	3.76184425152551	6.01158797287375	4.00245827922836	1.12920744013511	5.07533540657832	3.38945060091997	0.783574760680284	2.2505313267479	2.67664008346413	1.87926857723112	1.24747070110021	2.62321442982762	0.62781005406457	0.649530620838856	0.171642934012877	0.281355057869244	0.737155327708311	0.0200558092285537	0.0196313342182202	0.972740526143771	0.408980203575267	0.221608533539038	0.209072127634938	0.119178803816881	1.37221975829986	0.189292563970993
csrp3	75.987348621871	84.122883086859	89.0800095910397	213.234947043654	339.477584349983	410.350887876767	411.831759623138	454.747188565525	535.698362561066	8.55756884468632	11.0599460902328	11.5530332591597	4.99491463410869	2.33056677369757	3.92996189999016	2.73052951971559	14.1814746818551	9.00116336388189	3.02246253660146	2.64297316135775	10.8583672106891	3.55543616432658	443.734890421801	258.638969695569	527.974993101025	286.02512131765	439.564814400494	365.292880957007	386.446777615206	362.113524343151	63.2709703696106	204.585884746007	286.499685433565	134.648093823364	126.185226259748	134.9785772656	157.371645498128	148.101433358548	128.937747688142	333.632447028109	391.427189512698	385.431268870122	373.287327675068
desma	630.657874250972	532.171108278845	471.636950880742	1022.01900110934	1207.77899908463	1109.5128842844	1008.33646675068	1240.27508244847	1824.24065948895	575.369625176807	504.351347446992	494.901729171217	363.069600749081	3.89322800098969	6.77020631212309	3.52721251498765	13.396336214353	5.304534064687	4.77425377948807	14.7225258803645	12.3876393030035	10.629218794772	706.132596840896	424.235892684965	748.289020003273	520.079499528615	619.548314616181	543.603617079128	655.797651104833	633.755299506662	157.069061968946	527.974993101025	654.10386268649	158.349309689698	271.846287870785	249.61895998439	888.860666852318	918.022117803491	814.546654476889	1460.42190776339	1470.14583989968	1512.30770371555	1499.7182629918
dhfr	28.1866226557659	28.7103813162871	32.116061786656	4.61771303647769	4.71684256618349	5.59223209466432	5.95370956276369	4.30110531934946	3.79052673769576	21.1235372259487	33.0630591141183	34.2398822554689	41.0470144914757	33.6319193567919	38.8899579873612	43.1496446320265	119.081172983964	61.1675853929823	32.0790200259999	43.8784270320486	62.3535490937755	72.8370671925924	32.1862182118256	41.5801761567217	25.1538678379312	33.3629899918737	39.7127511305531	33.0472174682329	32.7574866032726	36.6467810750783	15.1231882128382	11.5260803886634	15.5081117062646	10.9944177546228	9.29713420650477	8.32769695310422	6.21341615006467	14.5181253188893	7.34157436144491	6.45588843339546	11.854230586822	6.48755535142532	4.16139216594274
dhrs9	36.3997025083174	31.0451134585127	45.9270795533313	6.32694278760196	6.63614880282028	4.84587501634829	3.59176948539933	4.86390613344632	7.69286972485401	104.747742228438	130.733757640939	166.233694989097	179.825672155055	0.523634859230532	1.83696065628972	0.876606911725725	10.3290760081701	3.5143397679177	2.14898864998905	5.16832973794382	15.6716078799311	19.23163912719	3.49433693572475	8.39265593985426	3.35612369152591	7.57734498370195	6.69639038125119	7.11916867923269	6.60454195451674	7.20352013111848	4.33394937117374	4.0145786719717	5.36958992293727	3.49852550115902	7.51481307973134	10.5422691564219	1.12073636358104	1.30973004255934	0.938219377135425	9.12642805497721	5.63642996458917	9.47484849796739	15.3742962225193
