go_id	external_gene_name
392	GO:0004672	camkva
393	GO:0006468	camkva
394	GO:0005524	camkva
395	GO:0016020	si:ch211-149e23.4
396	GO:0007156	si:ch211-149e23.4
397	GO:0007157	si:ch211-149e23.4
398	GO:0005912	si:ch211-149e23.4
401	GO:0016020	plod2
402	GO:0046872	plod2
403	GO:0016491	plod2
404	GO:0048741	plod2
405	GO:0005783	plod2
406	GO:0005789	plod2
407	GO:0005506	plod2
408	GO:0030199	plod2
409	GO:0005581	plod2
410	GO:0016705	plod2
411	GO:0031418	plod2
412	GO:0030903	plod2
413	GO:0001501	plod2
414	GO:0051213	plod2
415	GO:0032964	plod2
416	GO:0008475	plod2
417	GO:0017185	plod2
419	GO:0016740	si:ch211-122l14.7
420	GO:0005737	si:ch211-122l14.7
421	GO:0004672	si:ch211-122l14.7
422	GO:0004674	si:ch211-122l14.7
423	GO:0005524	si:ch211-122l14.7
424	GO:0006468	si:ch211-122l14.7
425	GO:0007346	si:ch211-122l14.7
426	GO:0043066	si:ch211-122l14.7
427	GO:0046777	si:ch211-122l14.7
428	GO:0000166	si:ch211-122l14.7
430	GO:0060041	rpgrb
431	GO:0005576	rpgrb
432	GO:0060271	rpgrb
433	GO:0060287	rpgrb
434	GO:0010842	rpgrb
435	GO:0046548	rpgrb
436	GO:0007018	rpgrb
437	GO:0005515	crfb16
438	GO:0016020	crfb16
439	GO:0005886	crfb16
440	GO:0004896	crfb16
441	GO:0019221	crfb16
442	GO:0042015	crfb16
443	GO:0051085	tor1
444	GO:0007029	tor1
445	GO:0016887	tor1
446	GO:0005783	tor1
447	GO:0005524	tor1
448	GO:0000166	tor1
449	GO:0012505	tor1
450	GO:0005635	tor1
451	GO:0005829	tor1
452	GO:0005788	tor1
453	GO:0019894	tor1
454	GO:0034504	tor1
455	GO:0071763	tor1
456	GO:0005515	flrt2
457	GO:0007264	rasgef1bb
458	GO:0005085	rasgef1bb
461	GO:0016020	pxmp2
462	GO:0005737	pxmp2
463	GO:0008150	pxmp2
464	GO:0005739	pxmp2
465	GO:0003674	pxmp2
466	GO:0016021	pxmp2
468	GO:0016020	tmem214
469	GO:0005783	tmem214
470	GO:0005794	tmem214
471	GO:0005789	tmem214
472	GO:0008610	fa2h
473	GO:0005506	fa2h
474	GO:0016491	fa2h
475	GO:0020037	fa2h
476	GO:0080132	fa2h
477	GO:0006629	fa2h
478	GO:0016021	fa2h
479	GO:0046872	fa2h
480	GO:0005783	fa2h
481	GO:0006631	fa2h
482	GO:0016020	ndufb7
483	GO:0005739	ndufb7
484	GO:0005743	ndufb7
485	GO:0070469	ndufb7
486	GO:0005758	ndufb7
487	GO:0005747	ndufb7
488	GO:0005634	ctdp1
489	GO:0016787	ctdp1
490	GO:0004721	ctdp1
491	GO:0008420	ctdp1
492	GO:0070940	ctdp1
493	GO:0004722	ctdp1
494	GO:0017018	ctdp1
495	GO:0005737	ankhd1
496	GO:0003676	ankhd1
497	GO:0003723	ankhd1
498	GO:0060047	ankhd1
499	GO:0045087	ankhd1
500	GO:0005515	ankhd1
502	GO:0005737	trim35-31
503	GO:0046872	trim35-31
504	GO:0008270	trim35-31
505	GO:0016567	trim35-31
506	GO:0061630	trim35-31
507	GO:0004842	trim35-31
508	GO:0005515	trim35-31
510	GO:0016705	cyp27b1
511	GO:0005506	cyp27b1
512	GO:0020037	cyp27b1
513	GO:0004497	cyp27b1
514	GO:0015630	si:ch73-281i18.6
515	GO:0000226	si:ch73-281i18.6
517	GO:0055085	slc7a10a
518	GO:0022857	slc7a10a
519	GO:0016020	slc7a10a
520	GO:0003735	mrpl51
521	GO:0005737	pimr190
522	GO:0004672	pimr190
523	GO:0004674	pimr190
524	GO:0005524	pimr190
525	GO:0006468	pimr190
526	GO:0007346	pimr190
527	GO:0043066	pimr190
528	GO:0046777	pimr190
529	GO:0000166	pimr190
531	GO:0016020	si:dkey-149i17.8
532	GO:0016740	si:dkey-149i17.8
533	GO:0005737	si:dkey-149i17.8
534	GO:0004672	si:dkey-149i17.8
535	GO:0004674	si:dkey-149i17.8
536	GO:0005524	si:dkey-149i17.8
537	GO:0006468	si:dkey-149i17.8
538	GO:0007346	si:dkey-149i17.8
539	GO:0043066	si:dkey-149i17.8
540	GO:0046777	si:dkey-149i17.8
541	GO:0000166	si:dkey-149i17.8
543	GO:0004843	usp43b
544	GO:0016579	usp43b
545	GO:0006511	usp43b
547	GO:0008168	asmt2
548	GO:0032259	asmt2
549	GO:0008171	asmt2
550	GO:0008757	asmt2
551	GO:0019438	asmt2
552	GO:0030187	asmt2
553	GO:0017096	asmt2
554	GO:0048856	asmt2
558	GO:0016579	usp3
559	GO:0004843	usp3
560	GO:0006511	usp3
561	GO:0008270	usp3
562	GO:0010142	hmgcs1
563	GO:0006084	hmgcs1
564	GO:0004421	hmgcs1
565	GO:0016746	hmgcs1
566	GO:0008299	hmgcs1
567	GO:0016740	hmgcs1
568	GO:0005575	hmgcs1
569	GO:0006629	hmgcs1
570	GO:0048821	hmgcs1
571	GO:0048703	hmgcs1
572	GO:0006694	hmgcs1
573	GO:0008202	hmgcs1
574	GO:0014003	hmgcs1
575	GO:0014033	hmgcs1
576	GO:0016126	hmgcs1
577	GO:0006695	hmgcs1
578	GO:0008203	hmgcs1
579	GO:0016020	ugt5c3
580	GO:0016740	ugt5c3
581	GO:0016757	ugt5c3
582	GO:0015020	ugt5c3
583	GO:0008194	ugt5c3
585	GO:0046872	si:ch211-271d10.2
587	GO:0016020	sgms2a
588	GO:0016740	sgms2a
589	GO:0005886	sgms2a
590	GO:0005789	sgms2a
591	GO:0000139	sgms2a
592	GO:0033188	sgms2a
593	GO:0047493	sgms2a
594	GO:0046513	sgms2a
595	GO:0006686	sgms2a
596	GO:0016780	sgms2a
597	GO:0006665	sgms2a
598	GO:0005540	hapln4
599	GO:0007155	hapln4
600	GO:0046983	olig3
601	GO:0000978	olig3
602	GO:0005634	olig3
603	GO:0006357	olig3
604	GO:0000981	olig3
605	GO:0030182	olig3
606	GO:0021520	olig3
607	GO:0006355	olig3
609	GO:0005525	zgc:171695
610	GO:0000166	zgc:171695
611	GO:0005615	tafa1a
612	GO:0007165	tafa1a
613	GO:0048018	tafa1a
614	GO:0014016	tafa1a
615	GO:1902692	tafa1a
616	GO:0005515	ankef1a
617	GO:0005886	crfb4
618	GO:0004896	crfb4
619	GO:0019221	crfb4
620	GO:0005515	crfb4
623	GO:0071209	lsm11
624	GO:0005737	cdk5
625	GO:0004672	cdk5
626	GO:0005524	cdk5
627	GO:0006468	cdk5
628	GO:0005634	cdk5
629	GO:0000166	cdk5
630	GO:0016301	cdk5
631	GO:0016310	cdk5
632	GO:0004693	cdk5
633	GO:0051726	cdk5
634	GO:0004674	cdk5
635	GO:0021954	cdk5
636	GO:0007409	cdk5
637	GO:0051402	cdk5
638	GO:0048935	cdk5
639	GO:0000083	cdk5
640	GO:0003309	cdk5
641	GO:0048489	cdk5
642	GO:0060059	cdk5
643	GO:0010842	cdk5
644	GO:0030182	cdk5
645	GO:0021634	cdk5
646	GO:0043524	cdk5
647	GO:0035173	cdk5
648	GO:0016570	cdk5
650	GO:0032508	zgc:113057
651	GO:0043139	zgc:113057
653	GO:0003723	zgc:113057
654	GO:0004386	zgc:113057
655	GO:0090501	zgc:113057
656	GO:0004540	zgc:113057
657	GO:0005737	lonrf1l
658	GO:0046872	lonrf1l
659	GO:0016567	lonrf1l
660	GO:0061630	lonrf1l
661	GO:0005515	lonrf1l
662	GO:0019835	prf1.2
663	GO:0005579	prf1.2
664	GO:0005509	prf1.2
665	GO:0006955	prf1.2
667	GO:0000981	hoxb3a
668	GO:0003700	hoxb3a
669	GO:0006355	hoxb3a
670	GO:0003677	hoxb3a
671	GO:0016020	slc16a5a
672	GO:0055085	slc16a5a
673	GO:0005886	slc16a5a
674	GO:0022857	slc16a5a
675	GO:0008028	slc16a5a
676	GO:0015718	slc16a5a
677	GO:0004930	gpr176
678	GO:0016021	gpr176
679	GO:0007186	gpr176
680	GO:0046872	fhl2a
681	GO:0005634	fhl2a
682	GO:0003712	fhl2a
683	GO:0030018	fhl2a
684	GO:0048513	fhl2a
685	GO:0006351	fhl2a
687	GO:0016020	golph3l
688	GO:0005829	golph3l
689	GO:0005802	golph3l
690	GO:0005794	golph3l
691	GO:0007030	golph3l
692	GO:0032580	golph3l
693	GO:0043001	golph3l
694	GO:0000139	golph3l
695	GO:0070273	golph3l
696	GO:0006890	golph3l
697	GO:0048194	golph3l
698	GO:0031985	golph3l
699	GO:0005515	iqch
702	GO:0016020	si:ch211-189e2.3
703	GO:0043186	si:ch211-189e2.3
704	GO:0030719	si:ch211-189e2.3
705	GO:0034587	si:ch211-189e2.3
706	GO:0005829	shpk
707	GO:0005975	shpk
708	GO:0016301	shpk
709	GO:0071222	shpk
710	GO:0016773	shpk
711	GO:0050277	shpk
712	GO:0016310	shpk
713	GO:0006071	shpk
715	GO:0051569	gfi1ab
716	GO:0030097	gfi1ab
717	GO:0006355	gfi1ab
718	GO:0007218	pdyn
719	GO:0000978	si:ch73-109d9.3
720	GO:0005634	si:ch73-109d9.3
721	GO:0006357	si:ch73-109d9.3
722	GO:0000981	si:ch73-109d9.3
723	GO:0016758	b3gnt3.3
724	GO:0006486	b3gnt3.3
725	GO:0016020	b3gnt3.3
726	GO:0016020	agtr1b
727	GO:0005886	agtr1b
728	GO:0004930	agtr1b
729	GO:0007165	agtr1b
730	GO:0007186	agtr1b
731	GO:0006954	agtr1b
732	GO:0007204	agtr1b
733	GO:0019229	agtr1b
734	GO:0038166	agtr1b
735	GO:0001596	agtr1b
736	GO:0004945	agtr1b
737	GO:0086097	agtr1b
738	GO:0016021	agtr1b
739	GO:0005737	trim35-7
740	GO:0061630	trim35-7
741	GO:0016567	trim35-7
742	GO:0005515	trim35-7
743	GO:0008270	trim35-7
744	GO:0003677	tfdp1a
745	GO:0006355	tfdp1a
746	GO:0005634	tfdp1a
747	GO:0000977	tfdp1a
748	GO:0006357	tfdp1a
749	GO:0000981	tfdp1a
750	GO:0051726	tfdp1a
751	GO:0005667	tfdp1a
752	GO:0003700	tfdp1a
753	GO:0048856	tfdp1a
757	GO:0035556	si:dkeyp-100h4.1
758	GO:0005515	si:dkeyp-100h4.1
761	GO:0005634	ss18l2
762	GO:0003713	ss18l2
763	GO:0045944	ss18l2
764	GO:0050775	ss18l2
765	GO:0016020	use1
766	GO:0015031	use1
767	GO:0005783	use1
768	GO:0005789	use1
770	GO:0035556	si:ch211-223g7.6
771	GO:0005515	si:ch211-223g7.6
773	GO:0018108	fes
774	GO:0004713	fes
775	GO:0004672	fes
776	GO:0006468	fes
777	GO:0005524	fes
778	GO:0016020	zgc:123103
781	GO:0005739	idh3b
782	GO:0051287	idh3b
783	GO:0000287	idh3b
784	GO:0016616	idh3b
785	GO:0006099	idh3b
786	GO:0006102	idh3b
787	GO:0000976	irf4a
788	GO:0003700	irf4a
789	GO:0005515	irf4a
790	GO:0006355	irf4a
792	GO:0004930	gpr183b
793	GO:0016021	gpr183b
794	GO:0007186	gpr183b
795	GO:0016020	cdh18a
796	GO:0005886	cdh18a
797	GO:0046872	cdh18a
798	GO:0005509	cdh18a
799	GO:0007155	cdh18a
800	GO:0045296	cdh18a
801	GO:0000902	cdh18a
802	GO:0007043	cdh18a
803	GO:0007156	cdh18a
804	GO:0016339	cdh18a
805	GO:0034332	cdh18a
806	GO:0098609	cdh18a
807	GO:0016342	cdh18a
808	GO:0005912	cdh18a
809	GO:0098742	cdh18a
810	GO:0003924	mtg2
811	GO:0005525	mtg2
812	GO:0000166	mtg2
813	GO:0005739	mtg2
814	GO:0000287	mtg2
815	GO:0042254	mtg2
816	GO:0005737	pkig
817	GO:0005634	pkig
818	GO:0004862	pkig
819	GO:0006469	pkig
820	GO:2000480	pkig
821	GO:0051338	pkig
823	GO:0003674	mief2
824	GO:0007005	mief2
825	GO:0005741	mief2
826	GO:0090141	mief2
827	GO:0016020	mief2
828	GO:0005739	mief2
829	GO:0016020	boka
830	GO:0006915	boka
831	GO:0042981	boka
834	GO:0005737	SRCIN1
835	GO:0015629	SRCIN1
836	GO:0014069	SRCIN1
837	GO:0061001	SRCIN1
838	GO:0034446	SRCIN1
839	GO:0030334	SRCIN1
840	GO:0110165	SRCIN1
843	GO:0016020	tmeff1b
844	GO:0003674	tmeff1b
845	GO:0005515	tmeff1b
846	GO:0048856	tmeff1b
847	GO:0016020	tap2t
848	GO:0055085	tap2t
849	GO:0005524	tap2t
850	GO:0000166	tap2t
851	GO:0016887	tap2t
852	GO:0042626	tap2t
853	GO:0015433	tap2t
854	GO:0015440	tap2t
855	GO:0042288	tap2t
856	GO:0015833	tap2t
857	GO:0042824	tap2t
858	GO:0046978	tap2t
859	GO:0019885	tap2t
860	GO:0016021	tap2t
861	GO:0140359	tap2t
862	GO:0035556	si:dkeyp-51g9.4
863	GO:0005515	si:dkeyp-51g9.4
866	GO:0035556	si:ch211-64i20.3
867	GO:0005515	si:ch211-64i20.3
868	GO:0005861	tnnt2b
869	GO:0006937	tnnt2b
870	GO:0003677	setbp1
871	GO:0005654	setbp1
872	GO:0006355	setbp1
873	GO:0051568	setbp1
874	GO:0042800	setbp1
875	GO:0097676	setbp1
877	GO:0016020	golph3
878	GO:0005829	golph3
879	GO:0005802	golph3
880	GO:0005794	golph3
881	GO:0007030	golph3
882	GO:0032580	golph3
883	GO:0043001	golph3
884	GO:0000139	golph3
885	GO:0070273	golph3
886	GO:0006890	golph3
887	GO:0048194	golph3
888	GO:0031985	golph3
889	GO:0016787	dusp23a
890	GO:0005737	dusp23a
891	GO:0004725	dusp23a
892	GO:0006470	dusp23a
893	GO:0004721	dusp23a
894	GO:0008138	dusp23a
895	GO:0016791	dusp23a
896	GO:0016311	dusp23a
898	GO:0001510	henmt1
899	GO:0008173	henmt1
900	GO:0008171	henmt1
902	GO:0008168	zgc:109986
903	GO:0005737	prkag1
904	GO:0005634	prkag1
905	GO:0016301	prkag1
906	GO:0016310	prkag1
907	GO:0006468	prkag1
