SYMBOL	PATH
940	AQP2	04962
941	AQP3	04962
942	AQP4	04962
943	AQP4	04976
944	AQP5	04970
946	AQP7	03320
947	AQP9	04976
948	AR	04114
949	AR	05200
950	AR	05215
951	ABCC6	02010
952	ARAF	04012
953	ARAF	04270
954	ARAF	04650
955	ARAF	04720
956	ARAF	04730
957	ARAF	04810
958	ARAF	04910
959	ARAF	04914
960	ARAF	05160
961	ARAF	05200
962	ARAF	05210
963	ARAF	05211
964	ARAF	05212
965	ARAF	05213
966	ARAF	05214
967	ARAF	05215
968	ARAF	05218
969	ARAF	05219
970	ARAF	05220
971	ARAF	05221
972	ARAF	05223
975	AREG	04012
976	ARF1	05110
982	ARF6	04144
983	ARF6	04666
984	ARG1	00330
985	ARG1	01100
986	ARG1	05146
987	ARG2	00330
988	ARG2	01100
989	ARG2	05146
990	RHOA	04062
991	RHOA	04144
992	RHOA	04270
993	RHOA	04310
994	RHOA	04350
995	RHOA	04360
996	RHOA	04510
997	RHOA	04520
998	RHOA	04530
999	RHOA	04660
1000	RHOA	04670
1001	RHOA	04722
1002	RHOA	04810
1003	RHOA	04972
1004	RHOA	05100
1005	RHOA	05130
1006	RHOA	05200
1007	RHOA	05210
1011	RHOG	05100
1012	RHOG	05131
1015	ARHGAP5	04510
1016	ARHGAP5	04670
1018	ARHGDIA	04722
1019	ARHGDIA	04962
1020	ARHGDIB	04722
1021	ARHGDIB	04962
1023	RHOH	04670
1028	ARNT	05200
1029	ARNT	05211
1030	BMAL1	04710
1032	ARRB1	04010
1033	ARRB1	04062
1034	ARRB1	04144
1035	ARRB1	04744
1036	ARRB2	04010
1037	ARRB2	04062
1038	ARRB2	04144
1039	ARRB2	04740
1040	ARRB2	04744
1041	ARSA	00600
1042	ARSA	04142
1043	ARSB	00531
1044	ARSB	01100
1045	ARSB	04142
1046	STS	00140
1058	ASAH1	00600
1059	ASAH1	01100
1060	ASAH1	04142
1066	ASIP	04916
1067	ASL	00250
1068	ASL	00330
1069	ASL	01100
1071	ASMT	00380
1072	ASMT	01100
1074	ASNS	00250
1075	ASNS	00910
1076	ASNS	01100
1078	ASPA	00250
1079	ASPA	00340
1081	ASS1	00250
1082	ASS1	00330
1083	ASS1	01100
1093	SERPINC1	04610
1098	ATF4	04010
1099	ATF4	04141
1100	ATF4	04720
1101	ATF4	04722
1102	ATF4	04912
1103	ATF4	05215
1106	ATIC	00230
1107	ATIC	00670
1108	ATIC	01100
1109	ATM	04110
1110	ATM	04115
1111	ATM	04210
1115	ATP1A1	04260
1116	ATP1A1	04960
1117	ATP1A1	04964
1118	ATP1A1	04970
1119	ATP1A1	04971
1120	ATP1A1	04972
1121	ATP1A1	04973
1122	ATP1A1	04974
1123	ATP1A1	04976
1124	ATP1A2	04260
1125	ATP1A2	04960
1126	ATP1A2	04964
1127	ATP1A2	04970
1128	ATP1A2	04971
1129	ATP1A2	04972
1130	ATP1A2	04973
1131	ATP1A2	04974
1132	ATP1A2	04976
1133	ATP1A3	04260
1134	ATP1A3	04960
1135	ATP1A3	04964
1136	ATP1A3	04970
1137	ATP1A3	04971
1138	ATP1A3	04972
1139	ATP1A3	04973
1140	ATP1A3	04974
1141	ATP1A3	04976
1142	ATP12A	00190
1143	ATP1A4	04260
1144	ATP1A4	04960
1145	ATP1A4	04964
1146	ATP1A4	04970
1147	ATP1A4	04971
1148	ATP1A4	04972
1149	ATP1A4	04973
1150	ATP1A4	04974
1151	ATP1A4	04976
1152	ATP1B1	04260
1153	ATP1B1	04960
1154	ATP1B1	04964
1155	ATP1B1	04970
1156	ATP1B1	04971
1157	ATP1B1	04972
1158	ATP1B1	04973
1159	ATP1B1	04974
1160	ATP1B1	04976
1161	ATP1B2	04260
1162	ATP1B2	04960
1163	ATP1B2	04964
1164	ATP1B2	04970
1165	ATP1B2	04971
1166	ATP1B2	04972
1167	ATP1B2	04973
1168	ATP1B2	04974
1169	ATP1B2	04976
1170	ATP1B3	04260
1171	ATP1B3	04960
1172	ATP1B3	04964
1173	ATP1B3	04970
1174	ATP1B3	04971
1175	ATP1B3	04972
1176	ATP1B3	04973
1177	ATP1B3	04974
1178	ATP1B3	04976
1181	FXYD2	04260
1182	FXYD2	04960
1183	FXYD2	04964
1184	FXYD2	04970
1185	FXYD2	04972
1186	FXYD2	04973
1187	FXYD2	04974
1188	FXYD2	04976
1189	ATP2A1	04020
1190	ATP2A1	04972
1191	ATP2A1	05010
1192	ATP2A2	04020
1193	ATP2A2	04260
1194	ATP2A2	04972
1195	ATP2A2	05010
1196	ATP2A2	05410
1197	ATP2A2	05412
1198	ATP2A2	05414
1199	ATP2A3	04020
1200	ATP2A3	04972
1201	ATP2A3	05010
1202	ATP2B1	04020
1203	ATP2B1	04970
1204	ATP2B1	04972
1205	ATP2B2	04020
1206	ATP2B2	04970
1207	ATP2B2	04972
1208	ATP2B3	04020
1209	ATP2B3	04970
1210	ATP2B3	04972
1211	ATP2B4	04020
1212	ATP2B4	04970
1213	ATP2B4	04972
1214	ATP4A	00190
1215	ATP4A	04966
1216	ATP4A	04971
1217	ATP4B	00190
1218	ATP4B	04966
1219	ATP4B	04971
1220	ATP5F1A	00190
1221	ATP5F1A	01100
1222	ATP5F1A	05010
1223	ATP5F1A	05012
1224	ATP5F1A	05016
1225	ALDH7A1	00010
1226	ALDH7A1	00053
1227	ALDH7A1	00071
1228	ALDH7A1	00260
1229	ALDH7A1	00280
1230	ALDH7A1	00300
1231	ALDH7A1	00310
1232	ALDH7A1	00330
1233	ALDH7A1	00340
