SYMBOL	PATH
atp1b2b	04260
sec22ba	04130
sec22ba	04145
ache	00564
ednraa	04020
ednraa	04080
ednraa	04270
pklr	00010
pklr	00230
pklr	00620
pklr	01100
mitfb	04916
adh5	00010
adh5	00071
adh5	00350
adh5	00830
adh5	00980
adh5	00982
adh5	01100
aldh1a2	00830
aldh1a2	01100
ugdh	00040
ugdh	00053
ugdh	00500
ugdh	00520
ugdh	01100
prkci	04144
prkci	04530
prkci	04910
sfrp5	04310
ywhag1	04110
ywhag1	04114
jag1a	04330
jag2b	04330
jag1b	04330
gucy2f	00230
gucy2f	04744
gc2	00230
gc2	04744
gnat1	04744
gnat2	04744
guca1a	04744
guca1b	04744
mt-rnr1	03008
mt-rnr1	03010
mt-rnr2	03008
mt-rnr2	03010
trnV	00970
trnK	00970
trnA	00970
trnG	00970
trnP	00970
CYTB	00190
CYTB	01100
CYTB	04260
trnC	00970
trnY	00970
trnR	00970
trnQ	00970
trnH	00970
trnT	00970
ATP6	00190
ATP6	01100
ATP8	00190
ATP8	01100
trnI	00970
trnM	00970
trnW	00970
trnN	00970
trnF	00970
trnD	00970
trnE	00970
trnS1	00970
trnL1	00970
ND1	00190
ND1	01100
ND2	00190
ND2	01100
ND3	00190
ND3	01100
ND4	00190
ND4	01100
ND5	00190
ND5	01100
ND6	00190
ND6	01100
trnL2	00970
ND4L	00190
ND4L	01100
COX1	00190
COX1	01100
COX1	04260
COX2	00190
COX2	01100
COX2	04260
COX3	00190
COX3	01100
COX3	04260
xbp1	04141
fads2	00592
fads2	01040
fads2	03320
prps1a	00030
prps1a	00230
prps1a	01100
casp3a	04010
casp3a	04115
casp3a	04210
casp3a	04650
atic	00230
atic	00670
atic	01100
per2	04710
cyp1a	00140
cyp1a	00380
cyp1a	00830
cyp1a	00980
cyp1a	01100
ckbb	00330
ckbb	01100
cxcr4a	04060
cxcr4a	04144
cxcr4a	04672
psap	04142
ptk2ab	04012
ptk2ab	04370
ptk2ab	04510
ptk2ab	04810
gria2a	04080
gria2b	04080
gria3a	04080
s1pr2	04080
cacna1c	04010
cacna1c	04020
cacna1c	04260
cacna1c	04270
cacna1c	04912
ube4b	04120
ube4b	04141
ccng1	04115
fabp3	03320
psma6a	03050
glra3	04080
ccna2	04110
ccna2	04914
rps5	03010
sec61a1	03060
sec61a1	04141
sec61a1	04145
rpl35	03010
rps18	03010
rpl24	03010
hdac1	04110
hdac1	04330
adssl	00230
adssl	00250
adssl	01100
csnk1a1	04310
csnk1a1	04340
tpi1a	00010
tpi1a	00051
tpi1a	00562
tpi1a	01100
uxs1	00500
uxs1	00520
uxs1	01100
sf3b4	03040
pole2	00230
pole2	00240
pole2	01100
pole2	03030
pole2	03410
pole2	03420
slc25a5	04020
calm2b	04020
calm2b	04070
calm2b	04114
calm2b	04270
calm2b	04744
calm2b	04910
calm2b	04912
calm2b	04916
mcm3	03030
mcm3	04110
ncbp2	03013
ncbp2	03015
ncbp2	03040
u2af1	03040
snrpc	03040
snrpd1	03040
mcm7	03030
mcm7	04110
b3gat3	00532
b3gat3	00534
b3gat3	01100
atp6v1e1b	00190
atp6v1e1b	01100
atp6v1e1b	04145
atp6v0ca	00190
atp6v0ca	01100
atp6v0ca	04142
atp6v0ca	04145
mcm2	03030
mcm2	04110
scarb2a	04142
elob	04120
rpl36a	03010
fshr	04080
atp6ap1b	00190
atp6ap1b	01100
atp6ap1b	04142
atp6ap1b	04145
flot1b	04910
flot2a	04910
insra	04520
insra	04910
insrb	04520
insrb	04910
igf1ra	04114
igf1ra	04144
igf1ra	04510
igf1ra	04520
igf1ra	04914
igf1rb	04114
igf1rb	04144
igf1rb	04510
igf1rb	04520
igf1rb	04914
vangl2	04310
ptk2bb	04020
ptk2bb	04650
ptk2bb	04912
id3	04350
gpia	00010
gpia	00030
gpia	00500
gpia	00520
gpia	01100
gpib	00010
gpib	00030
gpib	00500
gpib	00520
gpib	01100
ptgs1	00590
