Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1803	calhm6	-1.50151472446855	1.68124670637753	3.01905365515448	0.0822914735403137	0.309569380002425	ENSDARG00000041980	780840
1804	calm1a	0.509512319825892	7.33912947784932	3.20644844121479	0.0733485356281115	0.289354375785748	ENSDARG00000021811	406660
1805	calm1b	0.052830952654999	5.66112098726153	0.0105753958739427	0.918092542517554	0.979482435429592	ENSDARG00000034187	368217
1806	calm2a	-0.00704609512417184	7.04253104767348	0.000243233644980023	0.987556737014879	1	ENSDARG00000031427	336121
1807	calm2b	0.4125953666323	9.10303965013746	1.26769308798601	0.260199901523993	0.584387060449986	ENSDARG00000015050	192322
1808	calm3a	-0.644259936384905	6.18178808548577	3.56796665192473	0.0589043978694827	0.253427205540007	ENSDARG00000100825	327379
1809	calm3b	0.369982537908998	9.80014621448356	0.265669513736839	0.606251604881813	0.846985625693066	ENSDARG00000074057	321808
1810	CALML4	-1.48991536454056	1.22737327931933	3.0133221319948	0.082582876754745	0.3103383074001	ENSDARG00000059347	100321746
1811	calml4a	3.2238379798543	1.96235240607241	4.73055779714664	0.0296312741096286	0.167185629150657	ENSDARG00000075800	560151
1812	CALN1	0.994554622613681	1.58368631149246	1.92815752902899	0.16496016150002	0.462661500291375	ENSDARG00000088898	562420
1813	calr	0.647944175800916	7.93267088318002	0.570230447651078	0.450167357161189	0.753709413516866	ENSDARG00000076290	325317
1814	calr3a	0.0289933995886599	7.4229462824131	0.00704113435475406	0.933126822082207	0.984577058450844	ENSDARG00000103979	30248
1815	calr3b	0.0111245198934337	7.70807416039063	0.00033002834804563	0.985505881871628	1	ENSDARG00000102808	321315
1816	calua	1.05173403273626	7.54069809476646	1.98428382101162	0.158939841627915	0.452464816509793	ENSDARG00000045676	415241
1817	calub	0.564462578631763	6.47878837435161	0.680128132074309	0.409542605799949	0.721006421859866	ENSDARG00000005115	394057
1818	caly	1.90280147657911	2.14799255799393	4.90705142892768	0.0267472630291225	0.157646211541441	ENSDARG00000036008	100307104
1819	CAMK1	-1.85248910572902	5.65254720350823	16.5924572391805	4.63349336829439e-05	0.00246681654398598	ENSDARG00000060116	555945
