Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
778	apoa4a	2.72849238150174	1.85851835232913	8.08079694167653	0.00447367675518634	0.0433159744455746	ENSDARG00000101160	550608
782	APOB	4.46233797756923	7.39084524932513	9.39563137534829	0.0021750308732318	0.0283980055813244	ENSDARG00000042780	566465
785	apobec2b	6.14044837587774	3.31260682899834	10.8874988821922	0.000968154736435398	0.0173363852653869	ENSDARG00000113992	567047
792	apoea	5.0720058494764	6.08159718138162	9.65179835012431	0.00189166301971565	0.0259921494272947	ENSDARG00000102004	553587
806	aqp10a	3.67261664609123	2.33155240037215	11.5861203685251	0.000664458899146318	0.0137478242068151	ENSDARG00000007086	436621
821	AR	2.70174664190627	4.28228675287152	9.71814940575815	0.00182457144500025	0.0256068771493145	ENSDARG00000067976	100005148
849	arglu1a	1.62828453532849	6.88570000471562	14.3890850383363	0.00014866151925218	0.00512046993544733	ENSDARG00000019223	406834
888	ARHGEF19	1.7873811249875	2.87637268909574	8.28044169803729	0.00400743793859404	0.0405211556672537	ENSDARG00000078853	569202
909	arid5a	2.95587295692206	1.7120168648252	10.5988737299124	0.00113156568546346	0.0190489378933022	ENSDARG00000077120	100462698
910	arid6	3.01925297368944	2.41906325338201	11.8650972597421	0.000571957831941246	0.0124857935687976	ENSDARG00000069988	572528
1005	asb10	4.85785545253763	3.7310842001371	9.32128653951288	0.00226506898207875	0.0290629534499097	ENSDARG00000099461	559467
1013	ASB15	1.87759648120562	2.28608016285138	8.46419736661102	0.00362205046419181	0.0385529568439105	ENSDARG00000045633	100151067
1014	asb15b	4.58233411808871	2.37873230255801	20.8004069504131	5.09721316764745e-06	0.000466198958179448	ENSDARG00000045863	568579
1015	asb16	3.13675799103195	3.1703648185054	8.45619619420111	0.00363801901276469	0.0386194336967682	ENSDARG00000056468	678621
1019	asb5a	2.33810514466202	2.88895768801873	9.65665616623434	0.00188666723520204	0.0259921494272947	ENSDARG00000097938	550441
1035	asic1b	1.64062814886333	1.77875558111093	9.78297682644056	0.00176134924671896	0.025060780092202	ENSDARG00000101866	407672
1075	ATF2	1.78142549066989	2.05943088713893	8.51961273733701	0.0035133924575556	0.0378346024849708	ENSDARG00000023903	100006516
1113	ATP10B	2.97410037653731	3.09703701142202	7.92801734831727	0.00486751040479238	0.0457003417709541	ENSDARG00000076230	563932
1124	atp1a1a.5	2.55664831132554	2.42315843060971	11.0743101918968	0.000875319767842	0.0162957495401483	ENSDARG00000040252	245703
1249	b2m	5.330987019165	7.45901927567502	11.0411327011228	0.000891123988306035	0.016520994107524	ENSDARG00000053136	30400
1264	b3gnt2a	2.16068514694765	1.63077886056005	10.143402697908	0.00144818594426362	0.0222020951928072	ENSDARG00000052376	405766
1276	B4GALNT1	1.81713054781819	2.08219844063607	8.46140005861015	0.00362762514494726	0.0385570288796987	ENSDARG00000077352	793635
1277	b4galnt1a	2.96794661177272	3.77340641995736	9.2950162221385	0.00229778106337307	0.029355963657062	ENSDARG00000061520	558684
1320	barhl1a	2.49337852932112	3.08423471855747	8.43176136307217	0.00368723005932497	0.0388433243402604	ENSDARG00000035508	550407
1380	bco1	2.00215018807883	4.15504291935768	7.77631518359983	0.00529356626977478	0.0476821992027441	ENSDARG00000104256	84039
1382	BCO2	2.91125111571877	4.6797028603544	8.48022799571785	0.00359027103558408	0.0383428047423006	ENSDARG00000055722	793849
